Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3,
-0.41724,0.231293,0.242708,1.30834,-0.521143,-0.243461,-0.744009,
-0.417226,0.231456,0.243039,1.3087,-0.521293,-0.243389,-0.744945,
-0.417031,0.231479,0.243052,1.30882,-0.521167,-0.24334,-0.744996,
-0.416675,0.230785,0.242442,1.30912,-0.521151,-0.243463,-0.744019,
-0.416901,0.231262,0.242922,1.30941,-0.521563,-0.243233,-0.745512,
-0.416724,0.231113,0.242912,1.30949,-0.521538,-0.243197,-0.74506,
-0.416723,0.231097,0.24288,1.30962,-0.521749,-0.243112,-0.744509,
-0.416684,0.230969,0.242878,1.30976,-0.521705,-0.243178,-0.744724,
-0.416414,0.231093,0.243041,1.31012,-0.521992,-0.243102,-0.744504,
-0.416434,0.230917,0.242984,1.31023,-0.521981,-0.243092,-0.744805,
-0.416206,0.230948,0.242948,1.31051,-0.522215,-0.242928,-0.744784,
-0.416303,0.230764,0.242782,1.31037,-0.522228,-0.242753,-0.745391,
-0.416125,0.231031,0.243218,1.31072,-0.522219,-0.242876,-0.745516,
-0.415981,0.230715,0.242841,1.31081,-0.522195,-0.242738,-0.74484,
-0.415988,0.230821,0.243136,1.3109,-0.52262,-0.242757,-0.745458,
-0.415754,0.230833,0.243302,1.31097,-0.522364,-0.242793,-0.74492,
-0.415673,0.230551,0.242908,1.31103,-0.522438,-0.242641,-0.744757,
-0.415768,0.230716,0.243377,1.31124,-0.522791,-0.242596,-0.74504,
-0.415525,0.230738,0.243197,1.31134,-0.5226,-0.242256,-0.745164,
-0.415458,0.230244,0.242731,1.31126,-0.52255,-0.242197,-0.744644,
-0.415377,0.230695,0.2433,1.31168,-0.523021,-0.242075,-0.745785,
-0.415153,0.230368,0.243205,1.31173,-0.522859,-0.242248,-0.744618,
-0.41524,0.230489,0.243254,1.31159,-0.523057,-0.242068,-0.745249,
-0.415141,0.230712,0.243685,1.31181,-0.523378,-0.24213,-0.746872,
-0.414944,0.230208,0.242994,1.3118,-0.523371,-0.241794,-0.745459,
-0.415021,0.230503,0.243643,1.31185,-0.523247,-0.242156,-0.745794,
-0.414763,0.230525,0.243532,1.31204,-0.523475,-0.24193,-0.74579,
-0.41464,0.230206,0.243311,1.31192,-0.523328,-0.241998,-0.74517,
-0.414625,0.230334,0.243568,1.31215,-0.52357,-0.241908,-0.745771,
-0.414571,0.230203,0.243455,1.3122,-0.523701,-0.241808,-0.745394,
-0.414487,0.230179,0.243697,1.31198,-0.523718,-0.242525,-0.748305,
-0.414413,0.230061,0.243479,1.31222,-0.523677,-0.241962,-0.74549,
-0.41427,0.230102,0.243549,1.31213,-0.523746,-0.241927,-0.746304,
-0.41419,0.230079,0.243718,1.3124,-0.523721,-0.242059,-0.746165,
-0.414089,0.230114,0.243709,1.31242,-0.523874,-0.241992,-0.746579,
-0.413803,0.229389,0.243165,1.31236,-0.523774,-0.242099,-0.745558,
-0.413938,0.229976,0.243809,1.31252,-0.523995,-0.242087,-0.745587,
-0.413632,0.229662,0.243707,1.31256,-0.523867,-0.242119,-0.745647,
-0.413787,0.229829,0.244033,1.31226,-0.524084,-0.242758,-0.748132,
-0.413701,0.22977,0.243859,1.31248,-0.52404,-0.242157,-0.746171,
-0.413614,0.229674,0.244019,1.31227,-0.523676,-0.24259,-0.747763,
-0.413546,0.229727,0.244007,1.31255,-0.524112,-0.242261,-0.746621,
-0.413337,0.229638,0.243922,1.31276,-0.523965,-0.242342,-0.748586,
-0.413423,0.229383,0.243497,1.31248,-0.524222,-0.241839,-0.746107,
-0.413285,0.229631,0.244093,1.31273,-0.524211,-0.242358,-0.749576,
-0.413299,0.229456,0.243876,1.31271,-0.524393,-0.242119,-0.746426,
-0.413135,0.22946,0.243955,1.31255,-0.524218,-0.242143,-0.747885,
-0.413089,0.229412,0.24391,1.31272,-0.524376,-0.24194,-0.746495,
-0.412977,0.229271,0.24396,1.31256,-0.524251,-0.242385,-0.749443,
-0.412821,0.229482,0.244062,1.31293,-0.524391,-0.242138,-0.747109,
-0.412666,0.229322,0.243995,1.31305,-0.524303,-0.242441,-0.749916,
-0.412797,0.229162,0.243976,1.31257,-0.524147,-0.24222,-0.747632,
-0.412647,0.229379,0.244396,1.31295,-0.52442,-0.242539,-0.749479,
-0.41263,0.229151,0.243878,1.31294,-0.524605,-0.241989,-0.747787,
-0.412518,0.229196,0.244265,1.31282,-0.52428,-0.242533,-0.749416,
-0.412506,0.229079,0.244139,1.31293,-0.524557,-0.24233,-0.748436,
-0.412348,0.229058,0.244254,1.31289,-0.524476,-0.242683,-0.749036,
