Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3
-0.946433,0.107985,0.176823,0.663019,-0.153298,-0.139027,-0.541728
-0.946448,0.108017,0.176777,0.66301,-0.153219,-0.139011,-0.541986
-0.946625,0.108037,0.176859,0.662769,-0.152972,-0.138907,-0.542199
-0.946497,0.108209,0.177348,0.663107,-0.153139,-0.139334,-0.541827
-0.946601,0.107983,0.176797,0.662947,-0.15276,-0.138995,-0.541408
-0.946523,0.108093,0.177256,0.662986,-0.152835,-0.139489,-0.540739
-0.946459,0.10829,0.177644,0.663302,-0.15288,-0.139509,-0.541835
-0.946643,0.108252,0.177994,0.662985,-0.152661,-0.139872,-0.541092
-0.946458,0.108246,0.177827,0.663283,-0.152591,-0.139671,-0.540953
-0.946559,0.108357,0.177967,0.663139,-0.152383,-0.139745,-0.540308
