Pectoralis,AntDelt,PostDelt,TeresMaj,TriLong,TriShort,BicepLong,BicepShort,Brachiorad,FlexCarpiRad,FlexCarpiUln,ExtCarpiRad,
-0.00168437,-0.0116642,-0.00152264,0.000882568,0.0111017,0.026704,-0.00457258,0.0225446,-0.0249579,0.00777534,-0.0100796,0.0169187,
0.000643731,-0.0252952,0.00203678,-0.00427329,0.0133898,0.0205777,-0.00552692,0.0174129,-0.0145697,0.013594,-0.0133721,0.00569574,
-0.00347048,-0.0479436,0.00527526,0.00570197,0.0301655,0.0118764,-0.00358429,0.016468,0.000968557,0.0200571,-0.0182791,0.00542041,
-0.0066223,-0.0554635,0.00432952,0.000867798,0.0289127,-0.00905821,0.00447471,0.018744,0.00298422,0.0152527,-0.0238345,0.0090099,
-0.0226552,-0.0497864,0.00660425,0.0085893,0.0279821,-0.0116415,0.00899177,0.0155482,0.0059647,0.00690747,-0.0203797,0.00616199,
-0.0116482,-0.040892,0.00405092,-0.000108261,0.0157839,-0.0190535,0.00642551,0.0104221,-0.00715294,0.00693331,-0.0133876,0.0100762,
-0.0164196,-0.0242729,0.0101911,0.0095449,0.0177513,-0.0177724,0.00579027,0.00916037,-0.0263885,0.00760358,-0.0118723,0.0130258,
-0.0153992,-0.000894546,0.00763999,0.00632043,0.0103827,-0.0139153,-0.00128449,0.000494941,-0.0285621,0.00827437,-0.00842884,0.0143669,
-0.0153476,0.0353604,0.0121727,0.00470576,0.00687758,-0.00522847,-0.00192114,0.000844706,-0.0172151,0.00508236,-0.00595434,0.00444102,
-0.00242122,0.0384546,0.00897987,0.00470091,0.0030506,-0.00104817,-0.00352438,0.00280485,0.00765248,0.00671995,-0.0057363,-0.000976774,
-0.00140947,0.0302806,0.0102953,0.00437424,0.0127452,-0.00427185,0.00195427,-0.00424886,0.00708582,0.00159718,-0.0106719,-0.00671575,
0.00281909,0.0446425,0.00710464,0.00597935,0.015679,0.00055377,0.00356876,-0.00228783,0.0129572,-0.00159353,-0.0107806,-0.00923467,
0.00414769,0.0673753,0.00520275,0.00533102,0.0192566,0.00634602,0.00614816,0.000961179,0.00273075,4.52291e-05,-0.00960338,-0.0136847,
0.0177077,0.0868892,0.0084529,0.00339507,0.0147853,0.0124611,0.00486329,0.00195667,0.00602517,0.00297207,-0.0135788,-0.0142711,
0.023539,0.0745317,0.00816262,0.00210315,0.00226519,0.0172893,-0.000285897,0.00295207,-0.0116073,0.00461139,-0.0178774,-0.021618,
0.0280804,0.0467219,0.00561962,0.00403078,-0.00961156,0.00763106,-0.000285088,8.3938e-05,-0.0166846,0.000455981,-0.0167039,-0.027355,
0.0268248,0.0208448,-0.000141985,0.00628049,-0.0115087,0.000549357,-0.00189512,0.00333232,-0.0217624,0.0037054,-0.0229354,-0.0272969,
0.0239576,-0.00567522,0.00504318,0.00209148,-0.0317574,-0.0129702,-0.00672577,0.000463264,-0.0184703,0.00180386,-0.029489,-0.0294923,
0.0220544,-0.0228579,0.00475599,0.00530723,-0.0301148,-0.0271326,-0.00640659,0.00145682,-0.00841775,0.00473151,-0.0276718,-0.0143028,
0.00501795,-0.021045,0.00028416,-0.00435461,-0.0233221,-0.0226213,-0.00673259,-0.0046332,0.0141902,0.00379585,-0.0322925,-0.00136683,
